sector_id,Avalanche Axis,3/8/2022,3/9/2022,3/10/2022,
1,,,,,
2,,,,,
3,,,,,
4,202,1,1,1,
4,203,1,1,1,
5,,,,,
6,,,,,
7,201,1,1,1,
8,,,,,
9,,,,,
10,,,,,
11,,,,,
12,211,1,1,1,
12,212,1,1,1,
12,213,1,1,1,
12,214,1,1,1,
13,,,,,
14,209,1,1,1,
14,215,1,1,1,
15,204,1,1,1,
16,215,1,1,1,
17,210,1,1,1,
17,209,1,1,1,
18,215,1,1,1,
19,210,1,1,1,
19,209,1,1,1,
20,207,1,1,1,
20,205,1,1,1,
20,206,1,1,1,
20,204,1,1,1,
21,,,,,
22,210,1,1,1,
23,208,1,1,1,
23,207,1,1,1,
23,206,1,1,1,
24,,,,,
25,,,,,
26,,,,,
27,216,1,1,1,
,,,,,
