Date and Time ,AT,ATmax,ATmin,Battery,Pressure,RH,SnowTemp1,WindDir,WindSp,Albedo_IN,Albedo_Out,NetRad,SD_Avg,SD_Ins,SnowPreci,SnowTemp2,SunD,GPSstatus 1,GPSstatus 2,Status 1,Status 2,ReportingTime 1,ReportingTime 2,TotalBurst 1,TotalBurst 2
11-02-2022 05:00,-5.4,-4.5,-6.7,12.4,630,85.2,-5.1,137,1.3,488,338,126,10,0,2.3,1.7,60,Lock,Lock,good,good,00:18.3,00:19.5,2,2
11-02-2022 06:00,-5.5,-4.6,-6.1,12.3,630,83.6,-6.4,133,1.9,306,220,70,0,0,4.6,-1.4,60,Lock,Lock,good,good,00:18.3,00:19.5,1,1
11-02-2022 07:00,-6,-5.6,-6.2,12.3,629.4,80.9,-6,139,1.9,304,218,68,0,0,1.7,-0.8,60,Lock,Lock,good,good,00:18.3,00:19.5,2,1
11-02-2022 08:00,-6,-5.6,-6.5,12.2,629.4,88.2,-6.3,127,1.3,226,162,50,350,558,1.9,-1.5,60,Lock,Lock,good,good,00:18.4,00:19.5,2,1
11-02-2022 09:00,-6.4,-6,-6.8,12.2,628.7,92.3,-7,134,1.2,120,88,34,560,561,5.4,-2.7,60,Lock,Lock,good,good,00:18.4,00:19.5,2,2
11-02-2022 10:00,-6.6,-6.3,-6.8,12.2,628.7,91.2,-6.8,127,0.8,108,78,30,560,579,5.1,-3.3,14,Lock,Lock,good,good,00:18.4,00:19.6,2,2
11-02-2022 11:00,-6.6,-6,-6.9,12.1,628.7,89.7,-7.1,188,0.4,66,50,18,580,579,4.2,-3,0,Lock,Lock,good,good,00:18.4,00:19.6,2,2
11-02-2022 12:00,-6.6,-6,-7.2,12.1,628.7,95.4,-8.2,120,0.2,0,0,0,580,582,3.3,-5.4,0,Lock,Lock,good,good,00:18.4,30:19.6,2,1
11-02-2022 13:00,-7.2,-7.1,-7.3,12.1,630,95.4,-8.1,149,0.4,0,0,0,580,582,2.7,-5.7,0,Lock,Lock,good,good,30:18.4,00:19.6,1,2
11-02-2022 14:00,-7.2,-7.1,-7.4,12.1,630,94.6,-10.4,144,0.1,0,0,4,580,582,2.3,-6.2,0,Lock,Lock,good,good,00:18.4,00:19.6,2,2
11-02-2022 15:00,-8.2,-7.4,-8.8,12.1,630.6,87,-15.4,356,0.6,0,0,6,570,573,0.8,-7.7,0,Lock,Lock,good,good,00:18.5,00:19.7,2,2
11-02-2022 16:00,-8.8,-8.4,-9.2,12.1,631.3,64.7,-14.6,325,0.7,0,2,0,570,573,0,-8.4,0,Lock,Lock,good,good,00:18.5,00:19.7,2,2
11-02-2022 17:00,-8.6,-7.8,-9.3,12.1,631.9,62.7,-19.4,316,0.8,0,2,10,560,564,0,-9.6,0,Lock,Lock,good,good,00:18.5,00:19.7,2,2
11-02-2022 18:00,-9.5,-9,-10.3,12.1,631.3,71.3,-20.5,302,0.6,0,2,12,560,558,0,-10.2,0,Lock,Lock,good,good,00:18.5,00:19.7,2,2
11-02-2022 19:00,-7.3,-4.7,-10.5,12.1,631.3,42.7,-12.1,334,2.5,0,2,-78,560,564,0,-4.6,0,Lock,Lock,good,good,00:18.5,00:19.7,2,2
11-02-2022 20:00,-5.7,-4.9,-6.1,12.1,630.6,39.9,-11.3,335,3.8,0,2,-50,530,525,0,-4.8,0,Lock,Lock,good,good,00:18.5,00:19.7,2,2
11-02-2022 21:00,-6.6,-5.8,-7.5,12.1,631.3,44,-11.4,323,4.8,0,2,-56,500,504,0,-5.9,0,Lock,Lock,good,good,00:18.6,00:19.7,2,2
11-02-2022 22:00,-6.8,-6.3,-7.4,12.1,631.9,33.7,-12.1,318,4.8,0,2,-88,500,504,0,-6.1,0,Lock,Lock,good,good,00:18.6,00:19.8,2,2
11-02-2022 23:00,-7.2,-6.9,-7.6,12.1,631.9,25.9,-13.8,321,4.2,0,2,-98,500,498,0,-6.4,0,Lock,Lock,good,good,00:18.6,00:19.8,2,2
12-02-2022 00:00,-7.7,-7.3,-8.4,12.1,633.2,24.7,-15.1,324,4.6,0,2,-100,490,495,0,-6.7,0,Lock,Lock,good,good,00:18.6,00:19.8,2,2
12-02-2022 01:00,-7.7,-7.5,-8.1,12.1,633.8,18.7,-15.9,328,4.8,8,12,-106,490,495,0,-6.6,0,Lock,Lock,good,good,00:18.7,00:19.9,2,2
12-02-2022 02:00,-7.6,-7.1,-7.9,12.1,634.5,20.3,-16.1,324,3.8,52,40,-90,490,498,0,-6.3,0,Lock,Lock,good,good,00:18.7,30:19.9,2,1
12-02-2022 03:00,-6.8,-6.1,-7.7,14.5,633.2,21.5,-10.7,323,4.4,690,392,182,490,498,0,-0.2,56,Lock,Lock,good,good,00:18.7,30:19.9,2,1
12-02-2022 04:00,-5.4,-4.3,-6.5,13.8,632.6,19.3,-7.4,318,3.2,882,500,256,500,510,0,3.7,60,Lock,Lock,good,good,00:18.7,00:19.9,2,2
12-02-2022 05:00,-3.9,-3,-4.6,14.1,632.6,15,-5.5,322,3.3,1002,568,306,510,516,0,4.5,60,Lock,Lock,good,good,00:18.7,00:19.9,2,2
12-02-2022 06:00,-2.2,-1.6,-3.1,13.6,632.6,12.3,-3.3,316,2.9,1030,588,308,510,516,0,6.8,60,Lock,Lock,good,good,00:18.8,00:19.9,1,1
12-02-2022 07:00,-0.6,1.3,-1.7,13.8,631.3,11.4,-4,324,1.9,966,558,268,520,525,0,10,60,Lock,Lock,good,good,00:18.8,00:19.9,2,2
12-02-2022 08:00,0.7,1.8,-0.4,13.9,630.6,12.4,-2.3,326,1.4,818,484,190,520,531,0,10.9,60,Lock,Lock,good,good,30:18.8,30:20.0,1,1
